Year,Iowa Code Chapter,State,Company Name,Line of Insurance,Premiums Written,Losses Paid,Taxes Paid,NAIC Number,Iowa Company Code
2016,515.48,WI,1st Auto & Casualty Insurance Company,Fire,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Allied Lines,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Multiple Peril Crop,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Federal Flood,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Private Crop,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Private Flood,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Farmowners Multiple Peril,71954,10018,944,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Homeowners Multiple Peril,31455,460,413,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Commerical Multiple Peril (Non-liability portion),0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Commerical Multiple Peril (Liability portion),0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Mortgage Guaranty,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Ocean Marine,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Inland Marine,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Financial Guaranty,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Medical Professional Liability,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Earthquake,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Group Accident and Health (b),0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Credit Accident and Health (Group and Individual),0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Collectively Renewable Accident and Health (b),0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Non-Cancelable Accident and Health (b),0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Guaranteed Renewable Accident and Health (b),0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Non-Renewable for Stated Reasons only (b),0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Other Accident only,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Medicare Title XVIII,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,All other Accident and Health (b),0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Federal Employees Health Benefits Program Premium (b),0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Workers Compensation,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Other Liability - Occcurence,50968,0,669,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Other Liability - Claims Made,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Excess Workers Compensation,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Products Liability,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Private Passenger Auto No Fault (pip),0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Other Private Passenger Auto Liability,1279211,627112,16790,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Commercial Auto No Fault (pip),0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Other Commerical Auto Liability,69277,5790,909,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Private Passenger Physical Damage,1575537,999982,20679,44725,2894
2016,515.48,IL,ACSTAR Insurance Company,Medicare Title XVIII,0,0,0,22950,2329
2016,515.48,WI,1st Auto & Casualty Insurance Company,Commercial Auto Physical Damage,63508,32529,834,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Aircraft,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Fidelity,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Surety,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Burglary and Theft,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Boiler and Machinery,1381,0,18,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Credit,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Warranty,0,0,0,44725,2894
2016,515.48,WI,1st Auto & Casualty Insurance Company,Aggregate Write-In,0,0,0,44725,2894
2016,515.48,DE,21st Century Assurance Company,Fire,0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Allied Lines,0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Multiple Peril Crop,0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Federal Flood,0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Private Crop,0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Private Flood,0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Farmowners Multiple Peril,0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Homeowners Multiple Peril,0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Commerical Multiple Peril (Non-liability portion),0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Commerical Multiple Peril (Liability portion),0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Mortgage Guaranty,0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Ocean Marine,0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Inland Marine,0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Financial Guaranty,0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Medical Professional Liability,0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Earthquake,0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Group Accident and Health (b),0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Credit Accident and Health (Group and Individual),0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Collectively Renewable Accident and Health (b),0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Non-Cancelable Accident and Health (b),0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Guaranteed Renewable Accident and Health (b),0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Non-Renewable for Stated Reasons only (b),0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Other Accident only,0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,Medicare Title XVIII,0,0,0,44245,2629
2016,515.48,DE,21st Century Assurance Company,All other Accident and Health (b),0,0,0,44245,2629
